Year,DOI,Publication
2011,10.1007/s12036-011-9125-1,"Heald, George, Bell, Michael R., Horneffer, Andreas, et al., 2011, JApA 32, 589, LOFAR: Recent Imaging Results and Future Prospects"
2011,10.1029/2011RS004733,"Wijnholds, S. J., Bregman, J. D., & van Ardenne, A., 2011, RaSc 46, 0, Calibratability and its impact on configuration design for the LOFAR and SKA phased array radio telescopes"
2011,10.1111/j.1365-2966.2011.18506.x,"Kazemi, S., Yatawatta, S., Zaroubi, S., et al., 2011, MNRAS 414, 1656, Radio interferometric calibration using the SAGE algorithm"
2011,10.1109/TAP.2011.2122225,"Wijnholds, Stefan J. & van Cappellen, Wim A., 2011, ITAP 59, 1981, In Situ Antenna Performance Evaluation of the LOFAR Phased Array Radio Telescope"
2011,10.5194/astra-7-195-2011,"Thoudam, S., Aar, G. V., Akker, M. V. D., et al., 2011, ASTRA 7, 195, An air shower array for LOFAR: LORA"
2011,10.1051/0004-6361/201116681,"Stappers, B. W., Hessels, J. W. T., Alexov, A., et al., 2011, A&A 530, A80, Observing pulsars and fast transients with LOFAR"
2011,10.1016/j.asr.2010.06.019,"van Leeuwen, Joeri, & the LOFAR Transients Key Science Project, 2011, AdSpR 47, 1441, Neutron stars and gamma-ray bursts with LOFAR"
2012,10.1051/0004-6361/201220209,"de Gasperin, F., Orru;, E., Murgia, M., et al., 2012, A&A 547, A56, M 87 at metre wavelengths: the LOFAR picture"
2012,10.1051/0004-6361/201219087,"Noorishad, P., Wijnholds, S. J., van Ardenne, A., et al., 2012, A&A 545, A108, Redundancy calibration of phased-array stations"
2012,10.5194/astra-8-29-2012,"Buitink, S., Falcke, H., James, C., et al., 2012, ASTRA 8, 29, Constraints on ultra-high-energy neutrino flux from radio observations of the Moon"
2012,10.1007/s10686-012-9300-7,"Yatawatta, Sarod, 2012, ExA 34, 89, Reduced ambiguity calibration for LOFAR"
2012,10.1051/0004-6361/201218970,"Hassall, T. E., Stappers, B. W., Hessels, J. W. T., et al., 2012, A&A 543, A66, Wide-band simultaneous observations of pulsars: disentangling dispersion measure and profile variations"
2012,10.1051/0004-6361/201219154,"van Weeren, R. J., Rottgering, H. J. A., Rafferty, D. A., et al., 2012, A&A 543, A43, First LOFAR observations at very low frequencies of cluster-scale non-thermal emission: the case of Abell 2256"
2012,10.1111/j.1745-3933.2012.01251.x,"Scaife, Anna M. M. & Heald, George H., 2012, MNRAS 423, L30, A broad-band flux scale for low-frequency radio telescopes"
